Bus,Subway,평균매매가,평균조절가,유흥업소,살인,강도,강간,절도,폭력,방화,마약,약취,도박,전체범죄,112신고,총_생활인구,아파트_단지수,아파트_평균_시가,매출액,매출건수,생활인구_야간비율,생활인구_심야비율,생활인구_여성비율,상권타입_골목상권,상권타입_관광특구,상권타입_발달상권,상권타입_전통시장,개업율_요식업,폐업율_요식업,프랜차이즈비율_요식업,개업율_비요식업,폐업율_비요식업,프랜차이즈비율_비요식업,요식업비율
28,0,481.63054407566375,9.424304411525402,4,1,1,2,2,5,5,1,4,4,5,71472,3720086.0,85.0,132737186.0,50356310484.0,3179920.0,0.14247708251906005,0.2995199573343197,0.5332107913634254,1,0,0,0,0.13043478260869565,0.10869565217391304,1.1956521739130435,0.060240963855421686,0.0783132530120482,0.3373493975903614,0.2169811320754717
6,1,320.63492063492066,9.388040702829352,0,4,3,2,3,3,3,2,5,2,3,97907,618511.0,9.0,233402400.0,3662076371.0,378145.0,0.11705693188965112,0.20795264756811116,0.5477073164422298,1,0,0,0,0.2,0.2,2.6,0.06666666666666667,0.1,0.9333333333333333,0.14285714285714285
19,0,420.16657528463236,8.926389074869524,0,1,1,2,2,5,5,1,4,4,5,71472,904553.0,16.0,130227065.0,10748766435.0,422138.0,0.12233887898221553,0.24415153119828248,0.545707106161828,1,0,0,0,0.15,0.1,1.55,0.10344827586206896,0.10344827586206896,0.08045977011494253,0.18691588785046728
9,0,656.7463876790744,10.295012278264121,0,2,5,2,3,4,3,1,1,1,4,71472,278350.0,7.0,152415238.0,3155366084.0,322021.0,0.1032441171187354,0.15494880546075085,0.46446919346146937,1,0,0,0,0.08108108108108109,0.05405405405405406,0.10810810810810811,0.049019607843137254,0.04656862745098039,0.03431372549019608,0.08314606741573034
3,0,710.4246209984212,9.757139898042336,0,5,1,5,3,5,4,5,3,3,4,139303,1338665.0,51.0,193072717.0,6362217774.0,368410.0,0.13563886409221126,0.2671153724045971,0.5419623281403487,1,0,0,0,0.0,0.15384615384615385,0.0,0.08771929824561403,0.07017543859649122,0.21052631578947367,0.18571428571428572
12,2,703.9550900283004,10.036029667992961,0,1,3,1,3,2,3,2,2,2,2,100254,7761815.0,131.0,134512690.0,31877830051.0,1446178.0,0.13118529622259742,0.2846330400814758,0.5354693457651335,1,0,0,0,0.23255813953488372,0.23255813953488372,1.1395348837209303,0.12556053811659193,0.11659192825112108,0.17488789237668162,0.16165413533834586
3,0,1271.9454539166943,11.112532394294533,1,1,1,1,2,2,1,2,1,3,2,94619,1451537.0,45.0,298502274.0,3376481041.0,191173.0,0.12500404743385804,0.2757959321739646,0.5195375660420644,1,0,0,0,0.35714285714285715,0.0,0.0,0.08695652173913043,0.043478260869565216,0.10869565217391304,0.23333333333333334
9,1,974.2942405191005,10.305939816288445,0,1,2,1,1,2,1,3,1,1,1,37512,446571.0,6.0,160980467.0,4936761111.0,252022.0,0.12154170333496801,0.24265570312447518,0.5035212765719225,1,0,0,0,0.07692307692307693,0.0,0.3076923076923077,0.0,0.11538461538461539,0.15384615384615385,0.3333333333333333
5,6,778.0536701447691,10.198709371291457,2,1,3,1,3,2,3,2,2,2,2,100254,1698505.0,19.0,102053178.0,6313494335.0,491608.0,0.13579942361076358,0.3057806718261059,0.5299166031304,1,0,0,0,0.14285714285714285,0.0,0.5714285714285714,0.05128205128205128,0.07692307692307693,0.20512820512820512,0.15217391304347827
4,0,922.7210165115935,10.486445354729323,0,3,5,2,3,5,2,2,5,5,4,95966,1348296.0,14.0,96404898.0,1394589983.0,91770.0,0.09949224799302231,0.20755679761714044,0.48773266404409715,1,0,0,0,0.2,0.2,1.6,0.1,0.0,0.4,0.2
3,1,1785.3379767535748,10.435035020020687,0,1,1,1,1,2,1,2,1,1,1,94619,900872.0,19.0,287012415.0,2531198307.0,221455.0,0.10096661900913781,0.20595711710431672,0.4654157305366356,1,0,0,0,0.16666666666666666,0.0,0.6666666666666666,0.041666666666666664,0.041666666666666664,0.2708333333333333,0.1111111111111111
3,0,640.1586174296446,9.50305955564684,0,1,1,1,1,2,1,1,1,2,2,94619,349169.0,1.0,871007463.0,6687288203.0,132874.0,0.11990182404508991,0.287465382092912,0.4760617351483093,1,0,0,0,0.0,0.0,0.0,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.18181818181818182
8,1,1611.4185624549598,10.320238956596711,1,5,5,5,5,5,5,2,4,2,5,114688,2712550.0,43.0,144947866.0,5709002723.0,312017.0,0.1347624928572745,0.2769276142375256,0.4979945070136956,1,0,0,0,0.3142857142857143,0.2857142857142857,0.6857142857142857,0.0963855421686747,0.10843373493975904,0.2891566265060241,0.2966101694915254
12,0,270.0204273888901,9.414859557351875,0,5,2,2,2,3,1,5,5,4,3,59933,1243534.0,23.0,97822535.0,9234783680.0,343598.0,0.13503370233544076,0.19057540847294888,0.5379169367303186,1,0,0,0,0.4117647058823529,0.29411764705882354,0.20588235294117646,0.1111111111111111,0.125,0.08333333333333333,0.32075471698113206
