상권타입,Bus,Subway,평균매매가,평균조절가,유흥업소,살인,강도,강간,절도,폭력,방화,마약,약취,도박,전체범죄,112신고,총_생활인구,아파트_단지수,아파트_평균_시가,개업_점포_수_비요식업,개업_점포_수_요식업,점포_수_비요식업,점포_수_요식업,폐업_점포_수_비요식업,폐업_점포_수_요식업,프랜차이즈_점포_수_비요식업,프랜차이즈_점포_수_요식업,매출액,매출건수,geometry,생활인구_야간비율,생활인구_심야비율,생활인구_여성비율
골목상권,28,0,481.63054407566375,9.424304411525402,4,1,1,2,2,5,5,1,4,4,5,71472,3720086.0,85.0,132737186.0,10.0,6.0,166.0,46.0,13.0,5.0,56.0,55.0,50356310484.0,3179920.0,"POLYGON ((192008.56 438553.17, 191987.74 438544.51, 191913.05000000002 438545.03, 191845.94 438584.32, 191821.76 438615.57, 191817.9 438655.72000000003, 191787.55000000002 438665.33, 191773.02 438721.31, 191764.71 438747.28, 191756.74 438761.88, 191739.09 438793.7, 191665.77 438824.17, 191679.87 438853.26, 191626.74 438891.89, 191654.65 438938.12, 191656.4 438941.58, 191661.22 438970.5, 191670.68 439027.23, 191675.5 439056.03, 191705.93 439056.23, 191743.37 439056.44, 191838.95 439063.7, 191911.39 439081.47000000003, 191964.02 439057.47000000003, 191998.57 439038.33, 192011.4 439031.22000000003, 192083.33000000002 439017.60000000003, 192129.82 439009.03, 192156.63 439003.76, 192242.12 438969.72000000003, 192241.32 438965.59, 192233.66 438927.76, 192241.64 438923.9, 192231.93 438904.61, 192235.74 438875.84, 192242.02 438841.03, 192185.57 438894.75, 192147.44 438956.91000000003, 192105.84 438960.59, 192074.74 438963.32, 192024.65 438968.79000000004, 192015.17 438920.19, 192047.76 438906.16000000003, 192045.74 438889.64, 192038.09 438886.06, 192038.9 438874.82, 192053.38 438876.78, 192069.97 438797.95, 192061.21 438801.3, 192042.11000000002 438807.85000000003, 192034.02 438737.07, 192049.19 438726.42, 192062.29 438714.18, 192059.98 438672.47000000003, 192132.15 438665.42, 192131.08000000002 438728.10000000003, 192135.46 438775.52, 192155.81 438768.86, 192138.9 438671.37, 192105.2 438605.38, 192054.43 438591.85000000003, 192008.56 438553.17))",0.14247708251906005,0.2995199573343197,0.5332107913634254
골목상권,6,1,320.63492063492066,9.388040702829352,0,4,3,2,3,3,3,2,5,2,3,97907,618511.0,9.0,233402400.0,2.0,1.0,30.0,5.0,3.0,1.0,28.0,13.0,3662076371.0,378145.0,"POLYGON ((206296.88 459321.71, 206238.71 459299.03, 206225.01 459338.45, 206212.69 459373.88, 206208.92 459384.78, 206191.7 459434.35000000003, 206177.29 459475.82, 206174.27000000002 459484.23, 206170.86000000002 459493.44, 206210.1 459540.74, 206267.74 459563.60000000003, 206283.85 459515.21, 206344.09 459504.47000000003, 206339.82 459453.61, 206340.9 459437.19, 206357.27000000002 459349.98, 206358.74 459343.62, 206296.88 459321.71))",0.11705693188965112,0.20795264756811116,0.5477073164422298
골목상권,19,0,420.16657528463236,8.926389074869524,0,1,1,2,2,5,5,1,4,4,5,71472,904553.0,16.0,130227065.0,9.0,3.0,87.0,20.0,9.0,2.0,7.0,31.0,10748766435.0,422138.0,"POLYGON ((192443.04 439028.23, 192507.94 438996.04000000004, 192520.88 439022.93, 192548.5 439014.53, 192557.92 439001.63, 192547.32 438975.33, 192499.92 438992.58, 192437.30000000002 438967.67, 192433.96 438961.44, 192412.66 438960.28, 192357.76 438963.14, 192300.38 438965.59, 192241.32 438965.59, 192242.12 438969.72000000003, 192156.63 439003.76, 192129.82 439009.03, 192131.53 439042.43, 192059.64 439050.04000000004, 192041.7 439061.54000000004, 192078.11000000002 439103.05, 192084.7 439112, 192125.46 439105.37, 192161.21 439096.68, 192221.59 439069.63, 192230.69 439133.73, 192193.33000000002 439161.65, 192194.35 439168.72000000003, 192246.76 439166.15, 192277.89 439162.3, 192333.43 439159.07, 192387.59 439176.52, 192402.66 439178.99, 192439.93 439064.76, 192452.75 439046.4, 192443.04 439028.23))",0.12233887898221553,0.24415153119828248,0.545707106161828
골목상권,9,0,656.7463876790744,10.295012278264121,0,2,5,2,3,4,3,1,1,1,4,71472,278350.0,7.0,152415238.0,20.0,3.0,408.0,37.0,19.0,2.0,14.0,4.0,3155366084.0,322021.0,"POLYGON ((191390.84 437878.79000000004, 191371.65 437875.71, 191299.80000000002 437864.7, 191274.72 437860.18, 191225.68 437849.16000000003, 191185.68 437961.37, 191108.06 438178.93, 191234.16 438166.45, 191244.58000000002 438165.44, 191292.91 438160.82, 191341.24 438156.21, 191470.44 438143.89, 191468.81 438114.5, 191464.57 438042.83, 191454.30000000002 437935.4, 191450.31 437893.42, 191427.17 437894.67, 191421.01 437883.67, 191390.84 437878.79000000004))",0.1032441171187354,0.15494880546075085,0.46446919346146937
골목상권,3,0,710.4246209984212,9.757139898042336,0,5,1,5,3,5,4,5,3,3,4,139303,1338665.0,51.0,193072717.0,5.0,0.0,57.0,13.0,4.0,2.0,12.0,0.0,6362217774.0,368410.0,"POLYGON ((210354.67 445450.29000000004, 210314.56 445371.86, 210198.55000000002 445457.57, 210115.39 445519.01, 210071.42 445551.48, 210096.07 445599.12, 210107.52000000002 445622.05, 210147.41 445603.41000000003, 210174.37 445659.89, 210223 445636.03, 210250.36000000002 445623.07, 210243.13 445597.43, 210271.81 445577.54000000004, 210256.58000000002 445546.88, 210293.77000000002 445528.77, 210321.07 445515.44, 210330.37 445510.91000000003, 210349.09 445496.61, 210372.46 445485.04000000004, 210354.67 445450.29000000004))",0.13563886409221126,0.2671153724045971,0.5419623281403487
골목상권,12,2,703.9550900283004,10.036029667992961,0,1,3,1,3,2,3,2,2,2,2,100254,7761815.0,131.0,134512690.0,28.0,10.0,223.0,43.0,26.0,10.0,39.0,49.0,31877830051.0,1446178.0,"POLYGON ((207236.71 455947.42, 207262.9 455924.63, 207286.21 455895.57, 207299.02000000002 455913.52, 207319.02000000002 455921.73, 207312.59 455933.35000000003, 207349.19 455953.05, 207353.91 455941.35000000003, 207383.93 455957.17, 207400.56 455965.91000000003, 207444.06 455954.5, 207447.57 455932.91000000003, 207475.17 455926.58, 207448.73 455864.92, 207471.72 455848.54000000004, 207402.95 455820.93, 207384.92 455814.42, 207372.51 455811.54000000004, 207347.63 455805.9, 207342.9 455804.79000000004, 207305.51 455799.2, 207288.26 455816.9, 207299.54 455846.77, 207294.29 455866.9, 207279.7 455861.37, 207278.09 455879.85000000003, 207237.71 455862.74, 207216.48 455851.57, 207164.59 455826.39, 207157.18 455818.31, 207163.59 455785.13, 207146.47 455784.76, 207020.77000000002 455782.36, 207020.73 455782.55, 207009.58000000002 455856.18, 207008.94 455860.49, 206998.05000000002 455931.88, 206995.53 455948.42, 206987.91 455997.53, 206975.7 456068.03, 206961.71 456148.63, 206952.42 456202.10000000003, 206930.98 456343.19, 206984.37 456368.95, 207010.78 456407.36, 207040.88 456412.87, 207047.49 456372.75, 207103.13 456380.21, 207097.11000000002 456420.78, 207157.14 456429.61, 207170.06 456343.74, 207181 456346.04000000004, 207214.5 456399.03, 207217.61000000002 456415.81, 207236.64 456415.95, 207230.32 456386.63, 207225.44 456369.89, 207214.35 456354.46, 207223.22 456352.49, 207247.66 456349.06, 207244.39 456322.09, 207262.33000000002 456315.59, 207278.80000000002 456312.58, 207297.99 456306.78, 207314.49 456303.77, 207318.87 456339.01, 207319.37 456338.95, 207336.61000000002 456337.13, 207372.5 456315.45, 207369.07 456287.72000000003, 207356.83000000002 456269.66000000003, 207349.75 456259.02, 207294.55000000002 456250.8, 207285.22 456299.65, 207257.76 456295.67, 207265.6 456246.25, 207283.79 456131.37, 207255.33000000002 456110.44, 207233.91 456240.22000000003, 207124.46 456220.87, 207134.30000000002 456156.34, 207143.80000000002 456094.25, 207115.5 456090.45, 207138.4 455973.06, 207241.19 456034.66000000003, 207267.4 456065.32, 207279.33000000002 456054.44, 207264.77000000002 456033.79000000004, 207270.7 456010.91000000003, 207284.07 455978.55, 207279.51 455976.13, 207236.71 455947.42))",0.13118529622259742,0.2846330400814758,0.5354693457651335
골목상권,3,0,1271.9454539166943,11.112532394294533,1,1,1,1,2,2,1,2,1,3,2,94619,1451537.0,45.0,298502274.0,4.0,5.0,46.0,14.0,2.0,0.0,5.0,0.0,3376481041.0,191173.0,"POLYGON ((203112.87 443577.64, 203143.84 443589.53, 203149.54 443573.66000000003, 203223.46 443602.25, 203201.31 443659.83, 203192.89 443681.81, 203170.47 443741.76, 203244.33000000002 443770.49, 203319.78 443798.73, 203350.5 443716.8, 203425.26 443745.22000000003, 203444.76 443695.98, 203455.91 443667.22000000003, 203457.19 443663.92, 203382.71 443635.57, 203320.42 443611.85000000003, 203307.62 443607.71, 203232.55000000002 443578.66000000003, 203158.97 443550.13, 203078.83000000002 443519.15, 203063.28 443559.55, 203084.86000000002 443566.78, 203091.36000000002 443551.29000000004, 203118.13 443562.07, 203112.87 443577.64))",0.12500404743385804,0.2757959321739646,0.5195375660420644
골목상권,9,1,974.2942405191005,10.305939816288445,0,1,2,1,1,2,1,3,1,1,1,37512,446571.0,6.0,160980467.0,0.0,1.0,26.0,13.0,3.0,0.0,4.0,4.0,4936761111.0,252022.0,"POLYGON ((205099.4 456910.19, 205041.58000000002 456878.13, 205005.84 456841.81, 204971.89 456883.14, 205020.77000000002 456912.35000000003, 205034.69 456949.38, 205037.65 456956.60000000003, 205086.55000000002 456951.43, 205138.86000000002 456972.36, 205118.33000000002 456998.83, 205199.63 457059.45, 205219.68 457075.16000000003, 205247.39 457093.9, 205249.05000000002 457166.55, 205285.98 457120.69, 205338.43 457055.24, 205269.68 457025.57, 205285.18 456975.92, 205274.91 456969.06, 205206.64 456923.08, 205190.35 456911.97000000003, 205189.85 456911.65, 205150.7 456884.92, 205134.25 456873.81, 205099.4 456910.19))",0.12154170333496801,0.24265570312447518,0.5035212765719225
골목상권,5,6,778.0536701447691,10.198709371291457,2,1,3,1,3,2,3,2,2,2,2,100254,1698505.0,19.0,102053178.0,2.0,1.0,39.0,7.0,3.0,0.0,8.0,4.0,6313494335.0,491608.0,"POLYGON ((207094.09 455232.60000000003, 207093.82 455154.72000000003, 206976.14 455156.66000000003, 206961.84 455158.5, 206974.64 455242.02, 206959.99 455243.49, 206929.9 455246.55, 206932.42 455256.39, 206908.81 455266.14, 206869.58000000002 455178.52, 206861.34 455181, 206845.34 455186.33, 206838.63 455188.82, 206814.83000000002 455198.76, 206799.64 455205.35000000003, 206786.79 455211.21, 206762.23 455223.26, 206786.81 455286.59, 206796.51 455311.51, 206812.7 455305.18, 206843.24 455381.01, 206859.38 455374.43, 206883.42 455364.87, 206888.19 455363.05, 206908.14 455355.82, 206955.52000000002 455337.95, 206950.71 455382.03, 206949.07 455392.26, 206983.76 455397.94, 206980.1 455421.65, 206945.25 455416.22000000003, 206944.55000000002 455420.65, 206939.68 455452.16000000003, 206986.06 455458.09, 207005.37 455452.3, 207012.37 455405.56, 207075.1 455413.23, 207078.41 455393.07, 207082.39 455366.05, 207083.74 455356.56, 207087.41 455331.41000000003, 207094.19 455260.79000000004, 207094.09 455232.60000000003))",0.13579942361076358,0.3057806718261059,0.5299166031304
골목상권,4,0,922.7210165115935,10.486445354729323,0,3,5,2,3,5,2,2,5,5,4,95966,1348296.0,14.0,96404898.0,2.0,1.0,20.0,5.0,0.0,1.0,8.0,8.0,1394589983.0,91770.0,"POLYGON ((190603.98 443183.18, 190634.25 443164.19, 190626.41 443157.48, 190623.34 443155.45, 190598.67 443138.75, 190588.81 443131.96, 190588.34 443131.64, 190570.89 443121.2, 190552.6 443168.95, 190544.74 443200.18, 190523.32 443216.01, 190509.67 443230.5, 190487.16 443254.76, 190483.67 443259.72000000003, 190455.82 443286.99, 190446.4 443305.45, 190391.02 443323.61, 190386.44 443337.13, 190405.37 443352.83, 190408.09 443355.17, 190509.87 443288.12, 190544.9 443264.56, 190564.05000000002 443247.76, 190621.08000000002 443211.99, 190612.80000000002 443197.53, 190603.98 443183.18))",0.09949224799302231,0.20755679761714044,0.48773266404409715
